Genes,GamesPlayed,RelativeFitness,AbsoluteFitness
genes_17_87_25_87_48_22_50_18_62_57_73_75_87_93_73_85_85_64_3_100_40_11_32_12_11_75_21_46_34_98_65_90_28_64_22_31_26_40_30_66_34_73_34_42_72_68_38_64_89_49_87_80_20_54_9_59_40_10_74_81_99_86_92_76_70_94_56_3_95_42_90_33_78_32_1_28_7_56_62_85_31_12_78_35_14_95_21_18_28_7_100_72_95_94_93_80_54_53_13,0,0.0,0.0
genes_14_8_81_58_76_26_61_20_62_11_73_79_43_95_74_80_88_12_8_98_40_21_32_91_11_83_42_23_38_97_30_40_61_63_77_28_49_69_0_87_18_77_37_45_100_22_38_52_96_50_41_76_20_13_5_41_40_15_100_37_96_86_97_77_69_94_56_24_17_21_90_38_78_32_1_30_4_56_58_89_28_36_83_39_14_95_21_18_24_4_100_70_46_80_2_86_53_43_13,0,0.0,0.0
genes_6_96_25_82_11_26_6_20_57_33_50_83_39_81_73_85_85_54_81_100_40_23_30_12_11_75_21_21_34_98_27_90_28_62_22_31_10_40_7_68_66_32_33_42_72_64_38_94_91_54_89_45_20_49_52_59_40_3_72_12_99_86_98_71_70_94_89_25_17_39_90_99_81_32_5_34_49_58_62_26_26_15_99_37_14_51_90_15_24_8_100_71_89_94_43_80_54_53_12,0,0.0,0.0
genes_49_8_22_82_49_3_61_40_84_67_72_79_46_73_71_0_85_49_10_98_27_21_33_89_12_81_18_23_39_94_27_90_66_63_79_28_11_65_0_66_13_73_2_82_33_26_83_92_96_54_41_81_20_5_10_41_40_6_76_40_97_88_93_82_32_94_63_0_15_21_90_32_78_28_16_35_49_85_48_30_29_12_78_40_14_6_90_17_17_4_93_68_92_97_45_87_51_53_8,0,0.0,0.0
genes_18_8_21_57_84_26_61_20_57_67_70_77_67_72_74_85_41_56_81_100_40_16_30_61_8_80_68_43_39_94_29_49_66_64_22_61_47_65_32_80_18_77_36_37_100_26_38_59_90_49_50_74_22_54_8_59_40_6_77_6_97_80_92_78_69_94_59_29_82_32_98_39_78_32_16_5_10_85_80_24_28_12_78_40_14_93_91_18_24_6_99_70_89_88_44_80_53_53_45,0,0.0,0.0
genes_6_7_21_57_81_50_97_39_62_33_50_78_43_73_72_0_85_58_79_11_40_16_33_62_11_79_17_42_36_40_26_90_28_64_43_31_23_70_7_67_66_81_2_41_100_26_37_90_91_54_34_74_20_7_51_64_40_6_78_37_80_57_95_76_69_94_55_3_82_37_5_99_86_37_1_28_2_15_86_30_26_12_79_40_14_51_90_17_21_9_82_73_95_88_45_64_53_52_99,0,0.0,0.0
genes_6_8_25_57_76_23_6_20_64_57_50_79_43_93_71_85_87_50_81_98_40_23_30_90_11_81_42_46_67_97_27_40_28_64_73_31_19_69_0_68_66_32_37_41_68_64_42_47_96_50_50_74_19_13_5_41_7_15_78_37_89_86_62_78_69_79_56_25_17_21_100_88_78_32_1_10_49_80_62_89_26_12_78_39_14_95_90_15_24_13_100_70_89_97_47_80_53_43_12,0,0.0,0.0
genes_6_8_19_57_81_53_93_40_65_33_50_75_43_73_71_0_85_58_82_12_40_23_30_63_11_80_17_42_35_95_26_44_51_64_26_31_18_40_27_68_15_61_2_41_100_61_37_49_91_49_54_77_21_54_10_59_40_6_80_6_80_60_95_80_69_82_59_25_87_37_100_99_81_30_1_28_2_77_61_30_76_12_82_40_14_54_93_15_24_9_82_72_100_97_44_80_53_52_100,0,0.0,0.0
genes_6_96_25_57_81_26_7_20_64_33_50_78_43_93_71_85_74_53_81_16_40_23_30_62_11_80_17_43_37_94_27_44_28_37_22_33_19_38_7_68_64_32_13_46_70_64_86_90_91_54_48_76_20_54_51_59_7_3_78_12_89_89_95_71_69_79_55_29_87_59_100_99_83_32_5_10_49_80_62_89_26_12_78_39_14_51_92_13_24_8_82_71_89_97_44_80_53_49_12,0,0.0,0.0
genes_14_8_20_57_49_25_6_20_57_33_73_77_67_72_74_80_69_19_81_20_40_23_30_90_28_80_68_23_39_94_27_49_66_63_22_60_47_41_32_65_18_74_36_41_100_28_34_59_90_49_52_79_22_54_8_59_40_6_77_6_97_82_92_78_69_94_54_29_17_21_90_38_81_34_16_10_49_80_58_87_28_12_78_40_10_93_90_15_24_6_99_72_89_97_44_83_54_49_45,0,0.0,0.0
